,LCLid,stdorToU,DateTime,Acorn,Acorn_grouped,KWh
0,MAC000018,Std,1970-01-01 06:00:00,ACORN-E,Affluent,0.303
1,MAC000018,Std,1970-01-01 06:30:00,ACORN-E,Affluent,0.2
2,MAC000018,Std,1970-01-01 07:00:00,ACORN-E,Affluent,0.218
3,MAC000018,Std,1970-01-01 07:30:00,ACORN-E,Affluent,0.209
4,MAC000018,Std,1970-01-01 08:00:00,ACORN-E,Affluent,0.21
5,MAC000018,Std,1970-01-01 08:30:00,ACORN-E,Affluent,0.23800000000000002
6,MAC000018,Std,1970-01-01 09:00:00,ACORN-E,Affluent,0.439
7,MAC000018,Std,1970-01-01 09:30:00,ACORN-E,Affluent,0.983
8,MAC000018,Std,1970-01-01 10:00:00,ACORN-E,Affluent,0.35200000000000004
9,MAC000018,Std,1970-01-01 10:30:00,ACORN-E,Affluent,0.27899999999999997
10,MAC000018,Std,1970-01-01 11:00:00,ACORN-E,Affluent,0.355
11,MAC000018,Std,1970-01-01 11:30:00,ACORN-E,Affluent,0.27899999999999997
12,MAC000018,Std,1970-01-01 12:00:00,ACORN-E,Affluent,0.196
13,MAC000018,Std,1970-01-01 12:30:00,ACORN-E,Affluent,0.177
14,MAC000018,Std,1970-01-01 13:00:00,ACORN-E,Affluent,0.319
15,MAC000018,Std,1970-01-01 13:30:00,ACORN-E,Affluent,0.462
16,MAC000018,Std,1970-01-01 14:00:00,ACORN-E,Affluent,0.39799999999999996
17,MAC000018,Std,1970-01-01 14:30:00,ACORN-E,Affluent,0.27899999999999997
18,MAC000018,Std,1970-01-01 15:00:00,ACORN-E,Affluent,0.371
19,MAC000018,Std,1970-01-01 15:30:00,ACORN-E,Affluent,0.444
20,MAC000018,Std,1970-01-01 16:00:00,ACORN-E,Affluent,0.315
21,MAC000018,Std,1970-01-01 16:30:00,ACORN-E,Affluent,0.332
22,MAC000018,Std,1970-01-01 17:00:00,ACORN-E,Affluent,0.344
23,MAC000018,Std,1970-01-01 17:30:00,ACORN-E,Affluent,0.39299999999999996
24,MAC000018,Std,1970-01-01 18:00:00,ACORN-E,Affluent,0.256
25,MAC000018,Std,1970-01-01 18:30:00,ACORN-E,Affluent,0.337
26,MAC000018,Std,1970-01-01 19:00:00,ACORN-E,Affluent,0.434
27,MAC000018,Std,1970-01-01 19:30:00,ACORN-E,Affluent,0.556
28,MAC000018,Std,1970-01-01 20:00:00,ACORN-E,Affluent,0.36200000000000004
29,MAC000018,Std,1970-01-01 20:30:00,ACORN-E,Affluent,0.294
30,MAC000018,Std,1970-01-01 21:00:00,ACORN-E,Affluent,0.134
31,MAC000018,Std,1970-01-01 21:30:00,ACORN-E,Affluent,0.11900000000000001
32,MAC000018,Std,1970-01-01 22:00:00,ACORN-E,Affluent,0.125
33,MAC000018,Std,1970-01-01 22:30:00,ACORN-E,Affluent,0.127
34,MAC000018,Std,1970-01-01 23:00:00,ACORN-E,Affluent,0.12300000000000001
35,MAC000018,Std,1970-01-01 23:30:00,ACORN-E,Affluent,0.121
36,MAC000018,Std,1970-01-02 00:00:00,ACORN-E,Affluent,0.121
37,MAC000018,Std,1970-01-02 00:30:00,ACORN-E,Affluent,0.121
38,MAC000018,Std,1970-01-02 01:00:00,ACORN-E,Affluent,0.121
39,MAC000018,Std,1970-01-02 01:30:00,ACORN-E,Affluent,0.121
40,MAC000018,Std,1970-01-02 02:00:00,ACORN-E,Affluent,0.12
41,MAC000018,Std,1970-01-02 02:30:00,ACORN-E,Affluent,0.12300000000000001
42,MAC000018,Std,1970-01-02 03:00:00,ACORN-E,Affluent,0.122
43,MAC000018,Std,1970-01-02 03:30:00,ACORN-E,Affluent,0.153
44,MAC000018,Std,1970-01-02 04:00:00,ACORN-E,Affluent,0.158
45,MAC000018,Std,1970-01-02 04:30:00,ACORN-E,Affluent,0.24
46,MAC000018,Std,1970-01-02 05:00:00,ACORN-E,Affluent,0.318
47,MAC000018,Std,1970-01-02 05:30:00,ACORN-E,Affluent,0.325
48,MAC000018,Std,1970-01-02 06:00:00,ACORN-E,Affluent,0.27399999999999997
49,MAC000018,Std,1970-01-02 06:30:00,ACORN-E,Affluent,0.43
